尽,1071
漏,1068
尺,1070
訳,1073
択,1074
肩,1077
昼,1075
戸,1076
房,1078
扇,1079
炉,1080
講,1816
購,1817
構,1818
溝,1819
論,1820
倫,1821
偏,1823
輪,1822
編,1825
典,1827
遍,1824
氏,1828
紙,1829
婚,1830
冊,1826
頭,1441
短,1442
豊,1443
樹,1446
喜,1445
血,1448
皿,1447
盆,1449
盗,1451
鼓,1444
監,1453
盟,1450
鑑,1455
濫,1454
温,1452
暁,1201
伴,1203
畔,1204
判,1205
券,1206
巻,1207
圏,1208
勝,1209
藤,1210
謄,1211
片,1212
版,1213
之,1214
乏,1215
半,1202
擬,1411
犯,1414
厄,1415
危,1416
宛,1417
腕,1418
苑,1419
怨,1420
凝,1412
柳,1421
卵,1422
留,1423
貿,1424
印,1425
範,1413
授,736
愛,737
払,738
広,739
拡,740
鉱,741
弁,742
雄,743
台,744
怠,745
治,746
始,747
胎,748
窓,749
去,750
俺,2131
挫,2132
蔽,2134
裾,2136
斬,2137
臼,2138
尻,2135
膳,2133
彙,2141
剥,2140
拳,2142
弥,2144
溺,2145
毀,2139
挨,2143
援,1951
緩,1952
属,1953
嘱,1954
偶,1955
遇,1956
愚,1957
隅,1958
逆,1959
塑,1960
岡,1961
鋼,1962
綱,1963
剛,1964
缶,1965
振,2011
娠,2012
唇,2013
農,2014
濃,2015
送,2016
関,2017
咲,2018
鬼,2019
醜,2020
魂,2021
魔,2022
魅,2023
塊,2024
襲,2025
邪,1906
雅,1907
釈,1908
番,1909
審,1910
翻,1911
藩,1912
毛,1913
耗,1914
尾,1915
宅,1916
託,1917
為,1918
偽,1919
長,1920
沃,2086
諦,2087
叱,2088
匂,2089
頃,2090
楷,2091
諧,2092
葛,2093
詣,2094
堆,2095
椎,2096
誰,2097
錮,2098
咽,2099
恣,2100
張,1921
帳,1922
脹,1923
髪,1924
展,1925
喪,1926
単,1928
巣,1927
禅,1930
弾,1931
桜,1932
獣,1933
脳,1934
悩,1935
卯,2041
巳,2042
瞭,2191
斑,2192
潰,2193
狙,2194
戴,2195
柵,2197
丼,2196
哺,2198
那,2199
舷,2200
枕,2201
凄,2202
麺,2203
眉,2204
畏,2205
氾,2161
瑠,2162
蓋,2164
酎,2163
藍,2165
餌,2166
餅,2167
刹,2168
璃,2169
爽,2170
頓,2171
璧,2172
摯,2173
塞,2175
骸,2174
戦,1929
厳,1936
鎖,1937
挙,1938
誉,1939
猟,1940
鳥,1941
鳴,1942
鶴,1943
烏,1944
蔦,1945
鳩,1946
鶏,1947
島,1948
暖,1949
媛,1950
陶,1966
揺,1967
謡,1968
就,1969
懇,1970
墾,1971
免,1972
逸,1973
晩,1974
勉,1975
象,1976
像,1977
馬,1978
駒,1979
験,1980
衷,1891
面,1892
革,1893
靴,1894
覇,1895
声,1896
呉,1897
娯,1898
誤,1899
蒸,1900
承,1901
函,1902
極,1903
牙,1904
芽,1905
肘,2056
嘲,2057
唄,2058
貼,2059
呪,2060
妬,2061
嗅,2062
腺,2063
汎,2064
汰,2065
沙,2066
填,2067
椅,2068
昧,2069
苛,2070
慮,1996
劇,1997
虐,1998
鹿,1999
薦,2000
慶,2001
麗,2002
熊,2003
能,2004
態,2005
寅,2006
演,2007
辰,2008
辱,2009
震,2010
騎,1981
駐,1982
駆,1983
駅,1984
騒,1985
駄,1986
驚,1987
篤,1988
騰,1989
虎,1990
虜,1991
膚,1992
虚,1993
戯,1994
虞,1995
玩,2072
旺,2073
脊,2071
喻,2074
煎,2075
賂,2076
冥,2077
詮,2078
訃,2079
戚,2080
蔑,2081
鍵,2082
巾,2083
柿,2084
妖,2085
勾,2116
冶,2117
崖,2118
腎,2119
勃,2120
桁,2121
稽,2122
萎,2123
謎,2124
膝,2125
箋,2126
篭,2127
侶,2128
伎,2129
傲,2130
后,1861
幻,1862
司,1863
伺,1864
詞,1865
飼,1866
嗣,1867
舟,1868
舶,1869
航,1870
般,1871
盤,1872
搬,1873
船,1874
艦,1875
遡,2206
鬱,2207
蹴,2208
貌,2209
罵,2210
麓,2211
羞,2212
戒,676
械,677
鼻,678
刑,679
型,680
才,681
財,682
材,683
存,684
在,685
乃,686
携,687
及,688
吸,689
扱,690
芯,2101
臆,2102
惧,2103
憧,2104
憬,2105
拭,2106
拉,2107
拶,2108
捗,2109
弄,2110
梗,2111
股,2112
淫,2113
采,2114
曖,2115
醒,2176
蜂,2177
僅,2178
唾,2179
貪,2180
捻,2181
慄,2182
闇,2183
喉,2184
辣,2185
腫,2186
瘍,2187
痩,2188
嫉,2189
痕,2190
嚇,2026
朕,2027
雰,2028
箇,2029
錬,2030
遵,2031
罷,2032
屯,2033
且,2034
藻,2035
隷,2036
癒,2037
丹,2038
潟,2039
丑,2040
顎,2146
箸,2147
頬,2148
阜,2149
釜,2150
捉,2151
踪,2152
鍋,2153
隙,2154
窟,2155
緻,2156
綻,2157
畿,2158
遜,2159
湧,2160
艇,1876
瓜,1877
弧,1878
孤,1879
繭,1880
益,1881
暇,1882
敷,1883
来,1884
気,1885
汽,1886
飛,1887
沈,1888
妻,1889
衰,1890
脚,1396
卸,1397
服,1399
御,1398
令,1401
命,1400
齢,1403
零,1402
冷,1404
領,1405
勇,1407
鈴,1406
疑,1410
通,1408
踊,1409
